window_end_date,industry_a,industry_b,correlation
2022-04-06,交通运输,传媒,0.7422816466141745
2022-04-06,交通运输,公用事业,0.8152204932912398
2022-04-06,交通运输,农林牧渔,0.7192107675473045
2022-04-06,交通运输,医药生物,0.6018419000200941
2022-04-06,交通运输,商贸零售,0.8850290556151142
2022-04-06,交通运输,国防军工,0.46267755378040754
2022-04-06,交通运输,基础化工,0.7948668750365923
2022-04-06,交通运输,家用电器,0.8409438355362073
2022-04-06,交通运输,建筑材料,0.8259529740765551
2022-04-06,交通运输,建筑装饰,0.7598420983249997
2022-04-06,交通运输,房地产,0.7982059020067975
2022-04-06,交通运输,有色金属,0.7036187872247479
2022-04-06,交通运输,机械设备,0.7921546292867366
2022-04-06,交通运输,汽车,0.7375212489229719
2022-04-06,交通运输,煤炭,0.6673305020082397
2022-04-06,交通运输,环保,0.850260451798936
2022-04-06,交通运输,电力设备,0.5894866431636883
2022-04-06,交通运输,电子,0.602933710622957
2022-04-06,交通运输,石油石化,0.6755378216199235
2022-04-06,交通运输,社会服务,0.6747173428307032
2022-04-06,交通运输,纺织服饰,0.8538266097571493
2022-04-06,交通运输,综合,0.7990019687456461
2022-04-06,交通运输,美容护理,0.7465966261274464
2022-04-06,交通运输,计算机,0.6429046705815344
2022-04-06,交通运输,轻工制造,0.865995886541312
2022-04-06,交通运输,通信,0.6113463474883349
2022-04-06,交通运输,钢铁,0.8565394409301791
2022-04-06,交通运输,银行,0.7711160566885519
2022-04-06,交通运输,非银金融,0.7984109277251655
2022-04-06,交通运输,食品饮料,0.718493420812352
2022-04-06,传媒,公用事业,0.6344976708234453
2022-04-06,传媒,农林牧渔,0.7584730111778636
2022-04-06,传媒,医药生物,0.5927844676529415
2022-04-06,传媒,商贸零售,0.871194362481166
2022-04-06,传媒,国防军工,0.590252884680108
2022-04-06,传媒,基础化工,0.762915265316125
2022-04-06,传媒,家用电器,0.8512930801341545
2022-04-06,传媒,建筑材料,0.6992461577519434
2022-04-06,传媒,建筑装饰,0.6907236283576584
2022-04-06,传媒,房地产,0.7191552769979297
2022-04-06,传媒,有色金属,0.5696364524667943
2022-04-06,传媒,机械设备,0.8007304823592442
2022-04-06,传媒,汽车,0.7964533904260483
2022-04-06,传媒,煤炭,0.5133352036144416
2022-04-06,传媒,环保,0.7917079715153952
2022-04-06,传媒,电力设备,0.6176952835719537
2022-04-06,传媒,电子,0.7493767409380705
2022-04-06,传媒,石油石化,0.4573089539937016
2022-04-06,传媒,社会服务,0.8001657500122857
2022-04-06,传媒,纺织服饰,0.8516849624610984
2022-04-06,传媒,综合,0.8352804645267451
2022-04-06,传媒,美容护理,0.7713459835498401
2022-04-06,传媒,计算机,0.8699324338433286
2022-04-06,传媒,轻工制造,0.8557361169023731
2022-04-06,传媒,通信,0.8362593702533424
2022-04-06,传媒,钢铁,0.6268743643406958
2022-04-06,传媒,银行,0.511046779494017
2022-04-06,传媒,非银金融,0.7008243192411765
2022-04-06,传媒,食品饮料,0.8001178950504026
2022-04-06,公用事业,农林牧渔,0.6292037792891618
2022-04-06,公用事业,医药生物,0.5848102471673375
2022-04-06,公用事业,商贸零售,0.7349401381823812
2022-04-06,公用事业,国防军工,0.6269497882986694
2022-04-06,公用事业,基础化工,0.8005220193631525
2022-04-06,公用事业,家用电器,0.7483681856906592
2022-04-06,公用事业,建筑材料,0.7566120042594036
2022-04-06,公用事业,建筑装饰,0.7578256492675051
2022-04-06,公用事业,房地产,0.6875369461859925
