month,year,month_num,industry,monthly_ret,monthly_vol,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count
2022-01-01,2022,1,交通运输,-0.04011852210877609,0.20630146940056004,-0.0020723914274160516,18.8915,1.26495,213296907.86429998,1.113544544470353,80.89473684210526
2022-02-01,2022,2,交通运输,0.05746216358464573,0.25896172273104673,0.0036223931165875393,20.4279,1.3824,220237143.74360004,1.1649498914719247,80.6875
2022-03-01,2022,3,交通运输,-0.052460209687630766,0.3475993203076941,-0.0021070885137268996,19.2334,1.3066,202537119.25959998,1.6900236915888522,80.3913043478261
2022-04-01,2022,4,交通运输,-0.07671546659660444,0.3646866388354637,-0.00393828475107588,15.7286,1.2043,199654184.87539998,2.5471770866624905,78.57894736842105
2022-05-01,2022,5,交通运输,0.07004851354750397,0.22189475135785214,0.0036624858379326873,17.6608,1.31015,214042228.7996,2.322968815036244,79.89473684210526
2022-06-01,2022,6,交通运输,-0.008248452324392197,0.15268891123790676,-0.0003502602851442184,17.53165,1.2888,213882237.43189996,1.8282715649687997,81.04761904761905
2022-07-01,2022,7,交通运输,0.0003727327084186438,0.18180947019346497,8.021531348850042e-05,19.43195,1.3155000000000001,207869601.67400002,1.658387168502891,80.80952380952381
2022-08-01,2022,8,交通运输,-0.010003624590159688,0.20054223334792648,-0.0003601738081977954,19.0764,1.3119999999999998,210787622.7022,1.5181024771024003,81.26086956521739
2022-09-01,2022,9,交通运输,-0.05910970892223355,0.24094527477263328,-0.0027869154286082353,18.387700000000002,1.2225,208039990.39060003,1.6877097003481527,81.28571428571429
2022-10-01,2022,10,交通运输,-0.011096626709773849,0.2334089670106625,-0.0005951048931886723,17.7846,1.1834,201135304.0607,1.4516083236882715,81.625
2022-11-01,2022,11,交通运输,0.06558012964488147,0.13233423342250836,0.0029245373103760418,19.0286,1.3095,216133654.6857,1.325285703563412,81.9090909090909
2022-12-01,2022,12,交通运输,-0.013413679917883115,0.22447323677728065,-0.0005183710715396646,18.5044,1.29,213000408.02959996,2.0741270139059975,82.13636363636364
2023-01-01,2023,1,交通运输,0.03104838666162668,0.10802862847583555,0.0019345861750938447,20.071,1.35795,219894695.37089998,1.5540218699186992,82.75
2023-02-01,2023,2,交通运输,0.004236800502164462,0.10346835565807219,0.00023165214484916532,19.9385,1.3284500000000001,217188684.2381,1.2178850127973502,82.95
2023-03-01,2023,3,交通运输,-0.01203419758507629,0.1584541857123722,-0.00047861382854675846,18.6037,1.317,221013091.07709998,1.227956747866333,83.0
2023-04-01,2023,4,交通运输,0.008348162553018401,0.1428605079013046,0.00047592460007545354,20.1098,1.4423,222057115.7146,1.1600675116448633,83.05263157894737
2023-05-01,2023,5,交通运输,-0.039014118981604895,0.15350649856094561,-0.0019434380041608225,19.7438,1.3900000000000001,215171005.2572,1.2892596100390723,83.6
2023-06-01,2023,6,交通运输,-0.01863625857150819,0.1713632981240903,-0.0008849293631871802,19.391,1.395,204858091.32830003,0.9135286636791067,83.7
2023-07-01,2023,7,交通运输,0.04135231910836823,0.11355261331139098,0.001955768357979644,20.350450000000002,1.4463,219005642.77019998,0.7619463239718456,83.9047619047619
2023-08-01,2023,8,交通运输,-0.06028320180354463,0.15818769571208127,-0.002652194100338324,18.445700000000002,1.3276,204606757.7606,1.1745907338793138,83.73913043478261
2023-09-01,2023,9,交通运输,0.01607309316123806,0.11392063216887591,0.0008219672114621168,19.09385,1.3703,205385191.6168,1.139975339868961,83.35
2023-10-01,2023,10,交通运输,-0.02432743476139787,0.17771286551367793,-0.0013887110851826816,18.7354,1.3011,199536113.85619998,1.0915247627525886,83.82352941176471
2023-11-01,2023,11,交通运输,0.020942030698806846,0.06962340239360972,0.0009516816921815674,19.105150000000002,1.3401,202672091.9732,1.3630301966179574,83.5909090909091
