month,pmi,cpi_yoy,m2_yoy,inc_month,inc_cumval,stk_endval,sf_yoy,bond_10y,pmi_ma3,pmi_trend,cpi_ma3,sf_ma3,sf_trend,cycle_phase,growth_votes,inflation_votes,pmi_votes,sf_votes,phase_change,pmi_vs_50,growth_score,pmi_streak
2022-01-01,50.1,0.9,9.8,61759.0,61759.0,320.03,,,50.1,,0.9,,,衰退期,2,0,2,0,1,0.10000000000000142,51.000000000000014,1
2022-02-01,50.2,0.9,9.2,12170.0,73929.0,321.12,,,50.150000000000006,,0.9,,,衰退期,2,0,2,0,0,0.20000000000000284,52.00000000000003,2
2022-03-01,49.5,1.5,9.7,12170.0,73929.0,321.12,,2.7987249999999997,49.93333333333334,,1.0999999999999999,,,衰退期,0,0,0,0,0,-0.5,45.0,-1
2022-04-01,47.4,2.1,10.5,9327.0,129821.0,326.47,,2.797557894736842,49.03333333333334,-2.700000000000003,1.5,,,衰退期,0,0,0,0,0,-2.6000000000000014,23.99999999999999,-2
2022-05-01,49.6,2.1,11.1,28415.0,158236.0,329.2,,2.7827736842105266,48.833333333333336,-0.6000000000000014,1.9000000000000001,,,衰退期,0,0,0,0,0,-0.3999999999999986,46.000000000000014,-3
2022-06-01,50.2,2.5,11.4,51926.0,210162.0,334.28,,2.783,49.06666666666666,0.7000000000000028,2.2333333333333334,,,滞胀期,2,1,2,0,1,0.20000000000000284,52.00000000000003,1
2022-07-01,49.0,2.7,12.0,7785.0,217947.0,334.9,,2.801327777777778,49.6,1.6000000000000014,2.4333333333333336,,,滞胀期,0,1,0,0,0,-1.0,40.0,-1
2022-08-01,49.4,2.5,12.2,24712.0,242659.0,337.22,,2.667047826086957,49.53333333333334,-0.20000000000000284,2.566666666666667,,,滞胀期,0,1,0,0,0,-0.6000000000000014,43.999999999999986,-2
2022-09-01,50.1,2.8,12.1,35411.0,278070.0,340.65,,2.6654809523809524,49.5,-0.10000000000000142,2.6666666666666665,,,滞胀期,2,1,2,0,0,0.10000000000000142,51.000000000000014,1
2022-10-01,49.2,2.1,11.8,9134.0,287204.0,341.42,,2.70658,49.56666666666666,0.20000000000000284,2.466666666666667,,,衰退期,0,0,0,0,1,-0.7999999999999972,42.00000000000003,-1
2022-11-01,48.0,1.6,12.4,19837.0,307041.0,343.19,,2.7725809523809524,49.1,-1.3999999999999986,2.1666666666666665,,,衰退期,0,0,0,0,0,-2.0,30.0,-2
2022-12-01,47.0,1.8,11.8,13063.0,320104.0,344.21,,2.868675,48.06666666666667,-3.1000000000000014,1.8333333333333337,,,衰退期,0,0,0,0,0,-3.0,20.0,-3
2023-01-01,50.1,2.1,12.6,59956.0,59956.0,350.93,,2.87735,48.36666666666667,0.8999999999999986,1.8333333333333333,,,衰退期,2,0,2,0,0,0.10000000000000142,51.000000000000014,1
2023-02-01,52.6,1.0,12.9,31610.0,91566.0,353.97,10.60525575727278,2.9025,49.9,4.600000000000001,1.6333333333333335,10.60525575727278,,复苏期,4,0,2,2,1,2.6000000000000014,76.00000000000001,2
2023-03-01,51.9,0.7,12.7,53867.0,145433.0,359.02,11.802441454907807,2.8690454545454545,51.53333333333333,4.899999999999999,1.2666666666666668,11.203848606090293,,复苏期,4,0,2,2,0,1.8999999999999986,68.99999999999999,3
2023-04-01,49.2,0.1,12.4,12249.0,157682.0,359.95,10.255153612889378,2.828084210526316,51.23333333333333,-0.8999999999999986,0.6,10.88761694168999,,衰退期,2,0,0,2,1,-0.7999999999999972,42.00000000000003,-1
2023-05-01,48.8,0.2,11.6,15560.0,173242.0,361.42,9.787363304981778,2.715805,49.96666666666667,-3.8000000000000043,0.3333333333333333,10.614986124259653,-0.8178924522910016,衰退期,2,0,0,2,0,-1.2000000000000028,37.99999999999997,-2
2023-06-01,49.0,0.0,11.3,42265.0,215507.0,365.45,9.324518367835344,2.6665300000000003,49.0,-2.8999999999999986,0.10000000000000002,9.789011761902167,-2.4779230870724636,衰退期,2,0,0,2,0,-1.0,40.0,-3
2023-07-01,49.3,-0.3,10.7,5366.0,220873.0,365.77,9.217676918483143,2.636714285714286,49.03333333333333,0.09999999999999432,-0.03333333333333333,9.443186197100088,-1.0374766944062355,衰退期,2,0,0,2,0,-0.7000000000000028,42.99999999999997,-4
2023-08-01,49.7,0.1,10.6,31279.0,252152.0,368.61,9.308463317715443,2.5985434782608694,49.333333333333336,0.9000000000000057,-0.06666666666666668,9.283552868011311,-0.47889998726633465,衰退期,2,0,0,2,0,-0.29999999999999716,47.00000000000003,-5
2023-09-01,50.2,0.0,10.3,41326.0,293478.0,372.5,9.349772493761943,2.645305,49.73333333333333,1.2000000000000028,-0.06666666666666667,9.291970909986842,0.025254125926599258,复苏期,4,0,2,2,1,0.20000000000000284,52.00000000000003,1
2023-10-01,49.5,-0.2,10.3,18441.0,311919.0,374.17,9.592291019858234,2.698129411764706,49.800000000000004,0.20000000000000284,-0.03333333333333335,9.416842277111874,0.37461410137509077,衰退期,2,0,0,2,1,-0.5,45.0,-1
