ts_code,trade_date,adj_factor
000630.SZ,20251231,30.3727
000630.SZ,20251230,30.3727
000630.SZ,20251229,30.3727
000630.SZ,20251226,30.3727
000630.SZ,20251225,30.3727
000630.SZ,20251224,30.3727
000630.SZ,20251223,30.3727
000630.SZ,20251222,30.3727
000630.SZ,20251219,30.3727
000630.SZ,20251218,30.3727
000630.SZ,20251217,30.3727
000630.SZ,20251216,30.3727
000630.SZ,20251215,30.3727
000630.SZ,20251212,30.3727
000630.SZ,20251211,30.3727
000630.SZ,20251210,30.3727
000630.SZ,20251209,30.3727
000630.SZ,20251208,30.3727
000630.SZ,20251205,30.3727
000630.SZ,20251204,30.3727
000630.SZ,20251203,30.3727
000630.SZ,20251202,30.3727
000630.SZ,20251201,30.3727
000630.SZ,20251128,30.3727
000630.SZ,20251127,30.3727
000630.SZ,20251126,30.3727
000630.SZ,20251125,30.3727
000630.SZ,20251124,30.3727
000630.SZ,20251121,30.0589
000630.SZ,20251120,30.0589
000630.SZ,20251119,30.0589
000630.SZ,20251118,30.0589
000630.SZ,20251117,30.0589
000630.SZ,20251114,30.0589
000630.SZ,20251113,30.0589
000630.SZ,20251112,30.0589
000630.SZ,20251111,30.0589
000630.SZ,20251110,30.0589
000630.SZ,20251107,30.0589
000630.SZ,20251106,30.0589
000630.SZ,20251105,30.0589
000630.SZ,20251104,30.0589
000630.SZ,20251103,30.0589
000630.SZ,20251031,30.0589
000630.SZ,20251030,30.0589
000630.SZ,20251029,30.0589
000630.SZ,20251028,30.0589
000630.SZ,20251027,30.0589
000630.SZ,20251024,30.0589
000630.SZ,20251023,30.0589
000630.SZ,20251022,30.0589
000630.SZ,20251021,30.0589
000630.SZ,20251020,30.0589
000630.SZ,20251017,30.0589
000630.SZ,20251016,30.0589
000630.SZ,20251015,30.0589
000630.SZ,20251014,30.0589
000630.SZ,20251013,30.0589
000630.SZ,20251010,30.0589
000630.SZ,20251009,30.0589
000630.SZ,20250930,30.0589
000630.SZ,20250929,30.0589
000630.SZ,20250926,30.0589
000630.SZ,20250925,30.0589
000630.SZ,20250924,30.0589
000630.SZ,20250923,30.0589
000630.SZ,20250922,30.0589
000630.SZ,20250919,30.0589
000630.SZ,20250918,30.0589
000630.SZ,20250917,30.0589
000630.SZ,20250916,30.0589
