ts_code,trade_date,adj_factor
600606.SH,20251231,164.595
600606.SH,20251230,164.595
600606.SH,20251229,164.595
600606.SH,20251226,164.595
600606.SH,20251225,164.595
600606.SH,20251224,164.595
600606.SH,20251223,164.595
600606.SH,20251222,164.595
600606.SH,20251219,164.595
600606.SH,20251218,164.595
600606.SH,20251217,164.595
600606.SH,20251216,164.595
600606.SH,20251215,164.595
600606.SH,20251212,164.595
600606.SH,20251211,164.595
600606.SH,20251210,164.595
600606.SH,20251209,164.595
600606.SH,20251208,164.595
600606.SH,20251205,164.595
600606.SH,20251204,164.595
600606.SH,20251203,164.595
600606.SH,20251202,164.595
600606.SH,20251201,164.595
600606.SH,20251128,164.595
600606.SH,20251127,164.595
600606.SH,20251126,164.595
600606.SH,20251125,164.595
600606.SH,20251124,164.595
600606.SH,20251121,164.595
600606.SH,20251120,164.595
600606.SH,20251119,164.595
600606.SH,20251118,164.595
600606.SH,20251117,164.595
600606.SH,20251114,164.595
600606.SH,20251113,164.595
600606.SH,20251112,164.595
600606.SH,20251111,164.595
600606.SH,20251110,164.595
600606.SH,20251107,164.595
600606.SH,20251106,164.595
600606.SH,20251105,164.595
600606.SH,20251104,164.595
600606.SH,20251103,164.595
600606.SH,20251031,164.595
600606.SH,20251030,164.595
600606.SH,20251029,164.595
600606.SH,20251028,164.595
600606.SH,20251027,164.595
600606.SH,20251024,164.595
600606.SH,20251023,164.595
600606.SH,20251022,164.595
600606.SH,20251021,164.595
600606.SH,20251020,164.595
600606.SH,20251017,164.595
600606.SH,20251016,164.595
600606.SH,20251015,164.595
600606.SH,20251014,164.595
600606.SH,20251013,164.595
600606.SH,20251010,164.595
600606.SH,20251009,164.595
600606.SH,20250930,164.595
600606.SH,20250929,164.595
600606.SH,20250926,164.595
600606.SH,20250925,164.595
600606.SH,20250924,164.595
600606.SH,20250923,164.595
600606.SH,20250922,164.595
600606.SH,20250919,164.595
600606.SH,20250918,164.595
600606.SH,20250917,164.595
600606.SH,20250916,164.595
600606.SH,20250915,164.595
600606.SH,20250912,164.595
600606.SH,20250911,164.595
600606.SH,20250910,164.595
600606.SH,20250909,164.595
600606.SH,20250908,164.595
600606.SH,20250905,164.595
600606.SH,20250904,164.595
600606.SH,20250903,164.595
600606.SH,20250902,164.595
600606.SH,20250901,164.595
600606.SH,20250829,164.595
600606.SH,20250828,164.595
600606.SH,20250827,164.595
600606.SH,20250826,164.595
600606.SH,20250825,164.595
600606.SH,20250822,164.595
600606.SH,20250821,164.595
600606.SH,20250820,164.595
600606.SH,20250819,164.595
600606.SH,20250818,164.595
600606.SH,20250815,164.595
600606.SH,20250814,164.595
600606.SH,20250813,164.595
600606.SH,20250812,164.595
600606.SH,20250811,164.595
600606.SH,20250808,164.595
600606.SH,20250807,164.595
600606.SH,20250806,164.595
600606.SH,20250805,164.595
600606.SH,20250804,164.595
600606.SH,20250801,164.595
600606.SH,20250731,164.595
600606.SH,20250730,164.595
600606.SH,20250729,164.595
600606.SH,20250728,164.595
600606.SH,20250725,164.595
600606.SH,20250724,164.595
600606.SH,20250723,164.595
600606.SH,20250722,164.595
600606.SH,20250721,164.595
600606.SH,20250718,164.595
600606.SH,20250717,164.595
600606.SH,20250716,164.595
600606.SH,20250715,164.595
600606.SH,20250714,164.595
600606.SH,20250711,164.595
600606.SH,20250710,164.595
600606.SH,20250709,164.595
600606.SH,20250708,164.595
600606.SH,20250707,164.595
600606.SH,20250704,164.595
600606.SH,20250703,164.595
600606.SH,20250702,164.595
600606.SH,20250701,164.595
600606.SH,20250630,164.595
600606.SH,20250627,164.595
600606.SH,20250626,164.595
600606.SH,20250625,164.595
600606.SH,20250624,164.595
600606.SH,20250623,164.595
600606.SH,20250620,164.595
600606.SH,20250619,164.595
600606.SH,20250618,164.595
600606.SH,20250617,164.595
600606.SH,20250616,164.595
600606.SH,20250613,164.595
600606.SH,20250612,164.595
600606.SH,20250611,164.595
600606.SH,20250610,164.595
600606.SH,20250609,164.595
600606.SH,20250606,164.595
600606.SH,20250605,164.595
600606.SH,20250604,164.595
600606.SH,20250603,164.595
600606.SH,20250530,164.595
600606.SH,20250529,164.595
600606.SH,20250528,164.595
600606.SH,20250527,164.595
600606.SH,20250526,164.595
600606.SH,20250523,164.595
600606.SH,20250522,164.595
600606.SH,20250521,164.595
600606.SH,20250520,164.595
600606.SH,20250519,164.595
600606.SH,20250516,164.595
600606.SH,20250515,164.595
600606.SH,20250514,164.595
600606.SH,20250513,164.595
600606.SH,20250512,164.595
600606.SH,20250509,164.595
600606.SH,20250508,164.595
600606.SH,20250507,164.595
600606.SH,20250506,164.595
600606.SH,20250430,164.595
600606.SH,20250429,164.595
600606.SH,20250428,164.595
600606.SH,20250425,164.595
600606.SH,20250424,164.595
600606.SH,20250423,164.595
600606.SH,20250422,164.595
600606.SH,20250421,164.595
600606.SH,20250418,164.595
600606.SH,20250417,164.595
600606.SH,20250416,164.595
600606.SH,20250415,164.595
600606.SH,20250414,164.595
600606.SH,20250411,164.595
600606.SH,20250410,164.595
600606.SH,20250409,164.595
600606.SH,20250408,164.595
600606.SH,20250407,164.595
600606.SH,20250403,164.595
600606.SH,20250402,164.595
600606.SH,20250401,164.595
600606.SH,20250331,164.595
600606.SH,20250328,164.595
600606.SH,20250327,164.595
600606.SH,20250326,164.595
600606.SH,20250325,164.595
600606.SH,20250324,164.595
600606.SH,20250321,164.595
600606.SH,20250320,164.595
600606.SH,20250319,164.595
600606.SH,20250318,164.595
600606.SH,20250317,164.595
600606.SH,20250314,164.595
600606.SH,20250313,164.595
600606.SH,20250312,164.595
600606.SH,20250311,164.595
600606.SH,20250310,164.595
600606.SH,20250307,164.595
600606.SH,20250306,164.595
600606.SH,20250305,164.595
600606.SH,20250304,164.595
600606.SH,20250303,164.595
600606.SH,20250228,164.595
600606.SH,20250227,164.595
600606.SH,20250226,164.595
600606.SH,20250225,164.595
600606.SH,20250224,164.595
600606.SH,20250221,164.595
600606.SH,20250220,164.595
600606.SH,20250219,164.595
600606.SH,20250218,164.595
600606.SH,20250217,164.595
600606.SH,20250214,164.595
600606.SH,20250213,164.595
600606.SH,20250212,164.595
600606.SH,20250211,164.595
600606.SH,20250210,164.595
600606.SH,20250207,164.595
600606.SH,20250206,164.595
600606.SH,20250205,164.595
600606.SH,20250127,164.595
600606.SH,20250124,164.595
600606.SH,20250123,164.595
600606.SH,20250122,164.595
600606.SH,20250121,164.595
600606.SH,20250120,164.595
600606.SH,20250117,164.595
600606.SH,20250116,164.595
600606.SH,20250115,164.595
600606.SH,20250114,164.595
600606.SH,20250113,164.595
600606.SH,20250110,164.595
600606.SH,20250109,164.595
600606.SH,20250108,164.595
600606.SH,20250107,164.595
600606.SH,20250106,164.595
600606.SH,20250103,164.595
600606.SH,20250102,164.595
600606.SH,20241231,164.595
600606.SH,20241230,164.595
600606.SH,20241227,164.595
600606.SH,20241226,164.595
600606.SH,20241225,164.595
600606.SH,20241224,164.595
600606.SH,20241223,164.595
600606.SH,20241220,164.595
600606.SH,20241219,164.595
600606.SH,20241218,164.595
600606.SH,20241217,164.595
600606.SH,20241216,164.595
600606.SH,20241213,164.595
600606.SH,20241212,164.595
600606.SH,20241211,164.595
600606.SH,20241210,164.595
600606.SH,20241209,164.595
600606.SH,20241206,164.595
600606.SH,20241205,164.595
600606.SH,20241204,164.595
600606.SH,20241203,164.595
600606.SH,20241202,164.595
600606.SH,20241129,164.595
600606.SH,20241128,164.595
600606.SH,20241127,164.595
600606.SH,20241126,164.595
600606.SH,20241125,164.595
600606.SH,20241122,164.595
600606.SH,20241121,164.595
600606.SH,20241120,164.595
600606.SH,20241119,164.595
600606.SH,20241118,164.595
600606.SH,20241115,164.595
600606.SH,20241114,164.595
600606.SH,20241113,164.595
600606.SH,20241112,164.595
600606.SH,20241111,164.595
600606.SH,20241108,164.595
600606.SH,20241107,164.595
600606.SH,20241106,164.595
600606.SH,20241105,164.595
600606.SH,20241104,164.595
600606.SH,20241101,164.595
600606.SH,20241031,164.595
600606.SH,20241030,164.595
600606.SH,20241029,164.595
600606.SH,20241028,164.595
600606.SH,20241025,164.595
600606.SH,20241024,164.595
600606.SH,20241023,164.595
600606.SH,20241022,164.595
600606.SH,20241021,164.595
600606.SH,20241018,164.595
600606.SH,20241017,164.595
600606.SH,20241016,164.595
600606.SH,20241015,164.595
600606.SH,20241014,164.595
600606.SH,20241011,164.595
600606.SH,20241010,164.595
600606.SH,20241009,164.595
600606.SH,20241008,164.595
600606.SH,20240930,164.595
600606.SH,20240927,164.595
600606.SH,20240926,164.595
600606.SH,20240925,164.595
600606.SH,20240924,164.595
600606.SH,20240923,164.595
600606.SH,20240920,164.595
600606.SH,20240919,164.595
600606.SH,20240918,164.595
600606.SH,20240913,164.595
600606.SH,20240912,164.595
600606.SH,20240911,164.595
600606.SH,20240910,164.595
600606.SH,20240909,164.595
600606.SH,20240906,164.595
600606.SH,20240905,164.595
600606.SH,20240904,164.595
600606.SH,20240903,164.595
600606.SH,20240902,164.595
600606.SH,20240830,164.595
600606.SH,20240829,164.595
600606.SH,20240828,164.595
600606.SH,20240827,164.595
600606.SH,20240826,164.595
600606.SH,20240823,164.595
600606.SH,20240822,164.595
600606.SH,20240821,164.595
600606.SH,20240820,164.595
600606.SH,20240819,164.595
600606.SH,20240816,164.595
600606.SH,20240815,164.595
600606.SH,20240814,164.595
600606.SH,20240813,164.595
600606.SH,20240812,164.595
600606.SH,20240809,164.595
600606.SH,20240808,164.595
600606.SH,20240807,164.595
600606.SH,20240806,164.595
600606.SH,20240805,164.595
600606.SH,20240802,164.595
600606.SH,20240801,164.595
600606.SH,20240731,164.595
600606.SH,20240730,164.595
600606.SH,20240729,164.595
600606.SH,20240726,164.595
600606.SH,20240725,164.595
600606.SH,20240724,164.595
600606.SH,20240723,164.595
600606.SH,20240722,164.595
600606.SH,20240719,164.595
