ts_code,trade_date,adj_factor
920523.BJ,20251231,4.6098
920523.BJ,20251230,4.6098
920523.BJ,20251229,4.6098
920523.BJ,20251226,4.6098
920523.BJ,20251225,4.6098
920523.BJ,20251224,4.6098
920523.BJ,20251223,4.6098
920523.BJ,20251222,4.6098
920523.BJ,20251219,4.6098
920523.BJ,20251218,4.6098
920523.BJ,20251217,4.6098
920523.BJ,20251216,4.6098
920523.BJ,20251215,4.6098
920523.BJ,20251212,4.6098
920523.BJ,20251211,4.6098
920523.BJ,20251210,4.6098
920523.BJ,20251209,4.6098
920523.BJ,20251208,4.6098
920523.BJ,20251205,4.6098
920523.BJ,20251204,4.6098
920523.BJ,20251203,4.6098
920523.BJ,20251202,4.6098
920523.BJ,20251201,4.6098
920523.BJ,20251128,4.6098
920523.BJ,20251127,4.6098
920523.BJ,20251126,4.6098
920523.BJ,20251125,4.6098
920523.BJ,20251124,4.6098
920523.BJ,20251121,4.6098
920523.BJ,20251120,4.6098
920523.BJ,20251119,4.6098
920523.BJ,20251118,4.6098
920523.BJ,20251117,4.6098
920523.BJ,20251114,4.6098
920523.BJ,20251113,4.6098
920523.BJ,20251112,4.6098
920523.BJ,20251111,4.6098
920523.BJ,20251110,4.6098
920523.BJ,20251107,4.6098
920523.BJ,20251106,4.6098
920523.BJ,20251105,4.6098
920523.BJ,20251104,4.6098
920523.BJ,20251103,4.6098
920523.BJ,20251031,4.6098
920523.BJ,20251030,4.6098
920523.BJ,20251029,4.6098
920523.BJ,20251028,4.6098
920523.BJ,20251027,4.6098
920523.BJ,20251024,4.6098
920523.BJ,20251023,4.6098
920523.BJ,20251022,4.6098
920523.BJ,20251021,4.6098
920523.BJ,20251020,4.6098
920523.BJ,20251017,4.6098
920523.BJ,20251016,4.6098
920523.BJ,20251015,4.6098
920523.BJ,20251014,4.6098
920523.BJ,20251013,4.6098
920523.BJ,20251010,4.6098
920523.BJ,20251009,4.6098
920523.BJ,20250930,4.6098
920523.BJ,20250929,4.6098
920523.BJ,20250926,4.6098
920523.BJ,20250925,4.6098
920523.BJ,20250924,4.6098
920523.BJ,20250923,4.6098
920523.BJ,20250922,4.6098
920523.BJ,20250919,4.6098
920523.BJ,20250918,4.6098
920523.BJ,20250917,4.6098
920523.BJ,20250916,4.6098
920523.BJ,20250915,4.6098
920523.BJ,20250912,4.6098
920523.BJ,20250911,4.6098
920523.BJ,20250910,4.6098
920523.BJ,20250909,4.6098
920523.BJ,20250908,4.6098
920523.BJ,20250905,4.6098
920523.BJ,20250904,4.6098
920523.BJ,20250903,4.6098
920523.BJ,20250902,4.6098
920523.BJ,20250901,4.6098
920523.BJ,20250829,4.6098
920523.BJ,20250828,4.6098
920523.BJ,20250827,4.6098
920523.BJ,20250826,4.6098
920523.BJ,20250825,4.6098
920523.BJ,20250822,4.6098
920523.BJ,20250821,4.6098
920523.BJ,20250820,4.6098
920523.BJ,20250819,4.6098
920523.BJ,20250818,4.6098
920523.BJ,20250815,4.6098
920523.BJ,20250814,4.6098
920523.BJ,20250813,4.6098
920523.BJ,20250812,4.6098
920523.BJ,20250811,4.6098
920523.BJ,20250808,4.6098
920523.BJ,20250807,4.6098
