trade_date,yield
20220316,2.7952
20220317,2.7876
20220318,2.7927
20220321,2.8127
20220322,2.8302
20220323,2.8302
20220324,2.8052
20220325,2.7972
20220328,2.7903
20220329,2.7853
20220330,2.7703
20220331,2.7878
20220401,2.7743
20220406,2.7604
20220407,2.7394
20220408,2.7529
20220411,2.768
20220412,2.7705
20220413,2.7631
20220414,2.7656
20220415,2.7578
20220418,2.8107
20220419,2.8208
20220420,2.833
20220421,2.8259
20220422,2.8409
20220425,2.816
20220426,2.826
20220427,2.8411
20220428,2.8486
20220429,2.8386
20220505,2.8282
20220506,2.8273
20220509,2.8154
20220510,2.8089
20220511,2.824
20220512,2.8055
20220513,2.814
20220516,2.8216
20220517,2.8178
20220518,2.7801
20220519,2.7774
20220520,2.79
20220523,2.7675
20220524,2.765
20220525,2.7575
20220526,2.71
20220527,2.6974
20220530,2.7225
20220531,2.7426
20220601,2.7551
20220602,2.7601
20220606,2.7776
20220607,2.7576
20220608,2.7661
20220609,2.7576
20220610,2.7526
20220613,2.7652
20220614,2.7702
20220615,2.7827
20220616,2.7728
20220617,2.7752
20220620,2.7853
20220621,2.7853
20220622,2.7773
20220623,2.7803
20220624,2.7978
20220627,2.8329
20220628,2.8414
20220629,2.8294
20220630,2.8205
20220701,2.8255
20220704,2.8445
20220705,2.8333
20220706,2.8356
20220708,2.8384
20220711,2.8266
20220712,2.8117
20220713,2.8067
20220714,2.7907
20220715,2.7857
20220718,2.7837
20220719,2.7859
20220720,2.771
20220721,2.7635
20220722,2.787
20220725,2.779
20220727,2.7701
20220728,2.785
20220801,2.7292
20220802,2.7314
20220803,2.7218
20220804,2.7192
20220805,2.7339
20220808,2.7409
20220809,2.74
20220810,2.7366
20220811,2.7317
20220812,2.7347
20220815,2.6582
20220816,2.6346
20220817,2.6124
20220818,2.58
20220819,2.5875
20220822,2.5925
20220823,2.6075
20220824,2.61
20220825,2.639
20220826,2.643
20220829,2.6225
20220830,2.613
20220831,2.6225
20220901,2.6125
20220902,2.6226
20220905,2.618
20220906,2.614
20220907,2.6215
20220908,2.6256
20220909,2.635
20220913,2.6427
20220914,2.6625
20220915,2.6625
20220916,2.673
20220919,2.675
20220920,2.664
20220921,2.6451
20220922,2.6501
20220923,2.6802
20220926,2.7154
20220927,2.7051
20220928,2.7401
20220929,2.7501
20220930,2.7601
20221010,2.7402
20221012,2.7352
20221013,2.7252
20221014,2.6977
20221017,2.7002
20221018,2.7002
20221019,2.7052
20221020,2.7175
20221021,2.7278
20221024,2.7153
20221025,2.7278
20221026,2.7025
20221027,2.6953
20221028,2.6653
20221031,2.6433
20221101,2.6629
20221102,2.6854
20221103,2.6776
20221104,2.7023
20221107,2.7003
20221108,2.6853
20221109,2.6953
20221110,2.7028
20221111,2.7354
20221114,2.8354
20221115,2.8155
20221116,2.8329
20221117,2.8026
20221118,2.825
20221121,2.818
20221123,2.7975
20221124,2.795
20221125,2.83
