CREATE_TIME,PMI010503,PMI012000,PMI020200,PMI020502,PMI020601,PMI020700,UPDATE_BY,PMI010601,PMI010401,PMI011300,PMI011400,PMI011500,PMI020400,PMI020402,ID,PMI011000,PMI020201,PMI010802,PMI011900,PMI020202,PMI020800,PMI010801,PMI010803,PMI010100,PMI010403,PMI020501,PMI020900,PMI021000,MONTH,PMI010703,PMI011100,PMI011800,PMI020401,PMI011200,PMI020302,PMI020500,UPDATE_TIME,PMI010500,PMI010501,PMI010600,PMI010603,PMI011700,PMI020600,PMI010702,PMI020100,PMI010200,PMI010800,PMI010900,PMI020301,PMI020602,PMI030000,CREATE_BY,PMI010400,PMI011600,PMI020101,PMI010602,PMI010700,PMI010701,PMI020300,PMI010000,PMI010300,PMI010402,PMI010502,PMI020102
2026-05-15 08:31:54,,50.7,44.3,46.5,50.5,47.3,,,,55.1,47.5,46.2,48.1,47.9,537,50.1,41.6,,47.9,44.8,42.4,,,50.2,,39.6,45.3,50.9,202604,,51.1,52.2,49.0,63.7,51.2,45.5,2026-05-15 08:31:54,50.6,,49.5,,51.8,54.7,,49.4,50.5,48.8,50.3,54.9,55.4,50.1,,51.5,54.5,48.0,,49.3,,51.7,50.3,50.1,,,49.6
2026-05-15 08:31:54,,50.8,45.0,46.2,50.5,48.8,,,,55.4,46.7,47.1,49.9,50.0,538,49.8,43.5,,48.9,45.3,43.2,,,51.6,,39.1,43.5,51.5,202603,,50.9,52.1,49.3,63.9,52.2,45.2,2026-05-15 08:31:54,51.6,,49.5,,51.5,54.2,,50.1,49.0,48.6,49.1,52.7,54.8,50.5,,51.4,53.4,49.3,,47.7,,52.3,50.4,49.3,,,50.2
2026-05-15 08:31:54,,48.8,45.2,46.6,50.9,44.7,,,,50.6,45.8,44.0,48.8,49.0,539,45.6,42.2,,47.8,45.7,42.3,,,51.5,,42.5,45.4,50.5,202602,,48.2,51.5,47.6,54.8,51.2,46.0,2026-05-15 08:31:54,48.6,,49.1,,49.8,55.0,,49.5,47.5,48.0,45.0,49.1,55.8,49.5,,49.6,53.2,48.2,,47.5,,50.9,49.0,44.8,,,49.7
2026-05-15 08:31:54,,48.3,46.1,47.0,49.8,46.9,,,,50.6,48.6,45.1,48.8,48.9,540,47.3,40.1,,47.9,47.1,42.5,,,50.3,,41.1,44.8,51.1,202601,,48.7,52.0,48.2,56.1,49.7,46.1,2026-05-15 08:31:54,49.2,,50.1,,50.1,56.0,,49.4,48.7,48.1,47.8,52.0,57.1,49.8,,50.6,52.6,48.8,,47.4,,50.0,49.3,47.4,,,49.5
2026-04-15 13:31:13,,50.4,47.3,47.0,57.4,47.5,,,,48.9,48.2,46.0,48.0,48.1,536,47.0,47.4,,48.9,47.3,43.5,,,50.8,,41.0,45.2,51.3,202512,,51.1,52.5,47.4,53.1,50.1,46.1,2026-04-15 13:31:13,50.8,,50.2,,50.4,56.5,,50.2,49.8,48.2,49.0,50.8,56.4,50.7,,51.7,55.5,52.8,,47.8,,50.2,50.1,48.6,,,49.7
2026-03-26 07:11:20,,49.4,45.7,45.9,57.9,47.9,,,,48.2,47.3,45.5,49.1,49.2,532,47.0,46.1,,48.4,45.6,43.6,,,49.3,,41.8,44.8,51.2,202511,,49.5,50.1,48.4,53.6,50.5,45.3,2026-03-26 07:11:20,49.2,,50.1,,49.8,56.2,,49.5,48.9,48.4,47.6,49.7,55.9,49.7,,50.0,53.1,49.6,,47.3,,50.4,49.2,49.1,,,49.5
2026-01-21 07:40:13,,50.1,46.0,46.1,56.0,46.2,,,50.9,47.5,48.1,44.5,47.8,47.7,527,46.8,45.9,,47.3,46.0,43.6,,,49.9,,39.9,46.0,50.9,202510,,49.0,50.5,48.4,52.5,49.4,45.2,2026-01-21 07:40:13,48.8,50.1,50.0,,50.2,56.1,,50.1,48.7,48.3,45.9,49.6,56.1,50.0,,49.7,52.8,49.1,,47.3,,49.4,49.0,47.1,,,50.2
2026-01-21 07:40:13,,50.6,46.0,45.9,52.4,49.8,,,,48.2,48.2,45.2,47.3,47.2,528,48.1,42.2,,47.5,46.7,44.4,,,51.0,,39.7,44.9,51.1,202509,,51.6,51.6,48.1,53.2,49.3,45.0,2026-01-21 07:40:13,49.7,,50.8,,51.9,55.7,,50.0,48.8,48.5,47.8,47.2,56.3,50.6,,51.9,54.1,49.3,,48.5,,49.0,49.8,48.2,,,50.1
2025-10-20 08:43:31,,49.2,46.6,45.9,51.7,48.8,,,52.6,49.1,46.8,45.5,48.6,48.5,519,48.0,40.6,,48.2,47.7,43.4,,,50.8,,43.6,45.7,51.3,202508,,50.4,51.9,49.7,53.3,49.5,45.6,2025-10-20 08:43:31,49.5,51.9,50.5,,50.5,56.2,,50.3,48.9,47.9,47.2,54.6,57.0,50.5,,50.8,53.7,49.1,,48.0,,50.3,49.4,46.6,,,50.5
2025-10-20 08:43:31,,49.5,45.7,46.4,51.6,48.8,,,52.1,48.3,47.4,44.7,47.9,47.7,520,47.8,42.7,,48.0,46.3,42.3,,,50.3,,40.9,45.3,51.2,202507,,49.5,50.6,49.2,51.5,49.6,45.6,2025-10-20 08:43:31,49.4,50.7,50.3,,50.3,55.8,,50.1,49.5,48.0,47.1,54.5,56.6,50.2,,50.5,52.6,50.6,,47.7,,50.3,49.3,46.4,,,50.0
2025-10-20 08:43:31,,50.4,46.6,46.4,53.9,49.8,,,53.7,46.2,48.1,45.2,48.8,48.9,521,47.8,44.9,,47.8,46.9,43.4,,,51.2,,39.9,44.8,51.2,202506,,50.2,50.9,48.3,48.4,50.2,45.5,2025-10-20 08:43:31,50.2,,50.2,,51.4,55.6,,50.5,48.6,47.9,47.7,48.3,56.0,50.7,,51.0,52.0,52.8,,48.0,,49.9,49.7,47.3,,,50.1
2025-08-14 08:42:56,,50.2,46.1,46.6,52.4,48.0,,,51.5,44.7,46.5,44.8,47.3,47.3,513,47.1,43.3,,47.0,46.6,43.4,,,50.7,,39.5,46.1,51.1,202505,,47.6,50.9,47.5,46.9,48.2,45.5,2025-08-14 08:42:56,49.8,52.5,50.0,,51.2,55.9,,50.3,47.5,48.1,47.5,48.0,56.5,50.4,,50.7,52.5,51.0,,47.4,,48.2,49.5,49.3,,,50.2
2025-08-14 08:42:56,,49.4,44.9,46.8,53.8,42.2,,,49.8,44.8,47.3,43.2,46.6,46.5,514,43.4,39.6,,47.7,45.9,42.3,,,49.2,,37.8,45.1,50.8,202504,,46.3,51.5,47.2,47.0,47.9,45.5,2025-08-14 08:42:56,49.2,49.5,50.2,,49.6,56.0,,50.4,48.8,47.9,44.7,47.5,56.4,50.2,,49.8,52.1,51.9,,47.0,,47.8,49.0,48.7,,,50.1
2025-08-14 08:42:56,49.8,50.0,46.6,46.5,55.3,49.8,,,54.0,47.9,48.0,45.6,46.7,46.6,515,47.5,43.5,,49.3,47.1,43.7,,,51.2,50.8,41.4,45.7,51.1,202503,,51.8,52.3,47.5,49.8,48.4,45.8,2025-08-14 08:42:56,51.8,,50.3,,52.0,57.2,,50.8,49.9,48.2,49.0,49.5,57.5,51.4,,52.6,53.8,53.4,,47.2,,48.6,50.5,49.6,,,50.3
2025-08-14 08:42:56,45.9,49.9,46.1,46.7,54.7,49.5,,,56.2,48.5,48.3,46.0,47.8,47.6,516,49.5,46.8,,49.8,45.9,43.1,,,52.5,44.1,45.6,45.2,53.1,202502,,52.1,50.9,49.1,50.8,48.2,46.5,2025-08-14 08:42:56,51.1,,51.0,,50.8,56.6,,50.4,49.2,48.6,48.6,49.3,56.9,51.1,,52.5,54.5,52.7,,47.0,,48.4,50.2,46.3,,,50.0
2025-08-14 08:42:56,,49.1,46.4,46.3,56.5,44.6,,,51.3,47.4,46.5,45.6,48.6,48.8,517,48.1,44.7,,47.6,46.7,43.3,,,49.9,,48.7,45.0,51.3,202501,,49.2,49.3,47.8,49.5,50.9,46.7,2025-08-14 08:42:56,49.2,50.6,50.3,,50.2,56.7,,50.2,49.5,48.1,46.4,47.7,56.8,50.1,,49.8,55.3,49.3,,47.7,,50.4,49.1,46.5,,,50.3
2025-06-15 22:42:58,,51.4,48.7,46.3,57.1,50.0,,,,46.7,47.9,45.9,48.8,49.1,500,49.3,51.4,,48.8,48.2,44.1,,,50.5,,42.7,46.4,51.5,202412,,51.5,49.7,47.5,48.2,50.7,45.8,2025-06-15 22:42:58,51.0,,50.9,,50.6,57.5,,52.2,50.7,48.1,48.3,49.4,57.6,52.2,,52.1,53.3,53.2,,48.3,,50.5,50.1,48.5,,,52.0
2025-06-15 22:42:58,,50.8,45.9,46.2,55.6,48.2,,,,47.7,47.4,45.6,48.8,48.8,501,47.3,43.5,,49.2,46.4,42.7,,,50.9,,40.7,45.3,51.2,202411,,51.0,51.2,48.6,49.8,49.3,45.4,2025-06-15 22:42:58,50.8,,50.2,,51.3,57.0,,50.0,50.0,48.2,48.1,48.0,57.3,50.8,,52.4,54.7,49.7,,48.2,,49.1,50.3,49.1,,,50.1
2025-06-15 22:42:58,,49.5,47.2,46.4,55.2,50.0,,,,49.9,46.9,45.4,48.5,47.8,502,47.0,43.5,,49.3,47.8,43.7,,,51.5,,42.7,45.7,51.2,202410,,49.3,50.1,52.1,53.4,49.8,45.8,2025-06-15 22:42:58,50.0,,49.6,,51.3,56.1,,50.2,49.4,48.4,47.3,55.2,56.2,50.8,,52.0,54.0,50.4,,48.2,,50.6,50.1,47.5,,,50.1
2025-06-15 22:42:58,,51.1,44.2,45.5,53.1,47.0,,,,44.0,48.4,44.0,46.1,45.7,503,46.1,39.5,,46.6,45.0,42.2,,,50.6,,40.0,45.1,50.2,202409,,47.6,53.0,48.0,45.1,47.9,44.7,2025-06-15 22:42:58,49.9,,49.5,,52.0,54.4,,50.0,49.2,48.2,47.5,50.0,54.6,50.4,,51.2,52.0,50.7,,47.7,,48.2,49.8,48.5,,,49.9
2025-06-15 22:42:58,,50.0,46.3,45.9,54.7,47.6,,,,42.0,48.5,44.7,47.2,47.1,504,46.8,43.5,,46.4,46.8,42.2,,,50.4,,41.0,45.1,50.6,202408,,47.8,51.7,48.1,43.2,48.8,45.2,2025-06-15 22:42:58,48.9,,49.6,,51.2,55.3,,50.3,48.7,48.1,48.7,47.6,55.4,50.1,,49.8,52.0,50.6,,47.6,,48.6,49.1,46.4,,,50.2
