ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300200.SZ,20251231,11.99,11.99,11.62,11.71,11.83,-0.12,-1.0144,192695.6,226590.928
300200.SZ,20251230,12.26,12.3,11.82,11.83,12.22,-0.39,-3.1915,280551.05,334920.043
300200.SZ,20251229,12.57,12.58,12.12,12.22,12.69,-0.47,-3.7037,307551.0,377441.931
300200.SZ,20251226,12.81,12.88,12.55,12.69,12.97,-0.28,-2.1588,390682.0,496253.815
300200.SZ,20251225,12.43,13.08,12.19,12.97,12.42,0.55,4.4283,556949.9,709321.076
300200.SZ,20251224,12.22,12.59,12.15,12.42,12.39,0.03,0.2421,330824.8,409625.746
300200.SZ,20251223,11.92,12.75,11.91,12.39,12.15,0.24,1.9753,448932.2,553797.336
300200.SZ,20251222,11.8,12.5,11.69,12.15,11.78,0.37,3.1409,461147.59,561466.936
300200.SZ,20251219,12.18,12.33,11.73,11.78,12.41,-0.63,-5.0766,570429.74,681422.001
300200.SZ,20251218,12.48,13.38,12.39,12.41,12.66,-0.25,-1.9747,540114.54,694310.252
300200.SZ,20251217,13.3,13.35,12.44,12.66,13.46,-0.8,-5.9435,510410.17,653157.526
300200.SZ,20251216,12.9,13.77,12.21,13.46,13.23,0.23,1.7385,747802.02,964773.421
300200.SZ,20251215,12.87,13.66,12.72,13.23,13.01,0.22,1.691,602443.52,799407.737
300200.SZ,20251212,12.67,13.48,12.61,13.01,12.93,0.08,0.6187,658739.02,856934.441
300200.SZ,20251211,12.32,13.13,11.9,12.93,12.35,0.58,4.6964,779076.2,988645.266
300200.SZ,20251210,12.46,12.54,12.06,12.35,12.52,-0.17,-1.3578,346080.75,424583.857
300200.SZ,20251209,12.4,12.82,12.17,12.52,12.56,-0.04,-0.3185,514936.29,640800.085
300200.SZ,20251208,11.9,12.65,11.83,12.56,11.95,0.61,5.1046,530673.05,657350.255
300200.SZ,20251205,12.1,12.1,11.67,11.95,11.86,0.09,0.7589,351277.75,417393.459
300200.SZ,20251204,12.38,12.38,11.81,11.86,12.53,-0.67,-5.3472,429000.13,512446.045
300200.SZ,20251203,12.5,12.67,12.15,12.53,12.82,-0.29,-2.2621,629018.23,778327.591
300200.SZ,20251202,12.16,13.2,12.0,12.82,12.35,0.47,3.8057,965802.54,1226973.218
300200.SZ,20251201,11.55,12.87,11.23,12.35,11.51,0.84,7.298,816195.82,978621.505
300200.SZ,20251128,11.68,12.03,11.44,11.51,11.91,-0.4,-3.3585,515957.49,601304.671
300200.SZ,20251127,11.72,12.6,11.62,11.91,11.56,0.35,3.0277,799323.1,962222.063
300200.SZ,20251126,12.1,12.13,11.48,11.56,12.05,-0.49,-4.0664,530687.52,618075.641
