ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603687.SH,20251231,9.73,9.73,9.42,9.53,9.68,-0.15,-1.5496,115611.0,109802.588
603687.SH,20251230,9.52,9.74,9.47,9.68,9.57,0.11,1.1494,116043.0,111629.767
603687.SH,20251229,9.67,9.69,9.39,9.57,9.7,-0.13,-1.3402,120401.0,114849.771
603687.SH,20251226,9.86,9.89,9.63,9.7,9.86,-0.16,-1.6227,129509.0,125853.895
603687.SH,20251225,9.58,9.96,9.46,9.86,9.51,0.35,3.6803,219015.0,212757.335
603687.SH,20251224,9.48,9.58,9.4,9.51,9.48,0.03,0.3165,77493.0,73617.038
603687.SH,20251223,9.66,9.74,9.44,9.48,9.67,-0.19,-1.9648,107083.0,102038.157
603687.SH,20251222,9.38,9.84,9.38,9.67,9.38,0.29,3.0917,161259.0,156150.829
603687.SH,20251219,9.16,9.41,9.06,9.38,9.16,0.22,2.4017,154911.0,143650.052
603687.SH,20251218,9.05,9.39,9.05,9.16,9.18,-0.02,-0.2179,149274.0,138361.94
603687.SH,20251217,9.01,9.4,9.01,9.18,9.0,0.18,2.0,174612.0,160866.027
603687.SH,20251216,9.11,9.15,8.94,9.0,9.08,-0.08,-0.8811,89435.0,80585.73
603687.SH,20251215,8.86,9.18,8.85,9.08,8.86,0.22,2.4831,126776.0,115088.834
603687.SH,20251212,8.8,9.02,8.78,8.86,8.83,0.03,0.3398,107451.0,95687.205
603687.SH,20251211,8.71,9.2,8.71,8.83,8.76,0.07,0.7991,197664.0,177141.318
603687.SH,20251210,8.79,8.88,8.67,8.76,8.75,0.01,0.1143,88374.0,77374.301
603687.SH,20251209,8.91,8.96,8.75,8.75,8.94,-0.19,-2.1253,87348.0,77244.707
603687.SH,20251208,9.0,9.08,8.91,8.94,9.0,-0.06,-0.6667,65516.0,58667.6
603687.SH,20251205,8.85,9.01,8.79,9.0,8.86,0.14,1.5801,93405.0,83427.231
603687.SH,20251204,8.94,8.99,8.82,8.86,8.96,-0.1,-1.1161,72290.0,64264.731
603687.SH,20251203,9.0,9.04,8.85,8.96,9.0,-0.04,-0.4444,78676.85,70176.941
603687.SH,20251202,8.92,9.18,8.76,9.0,8.96,0.04,0.4464,118852.0,106670.087
603687.SH,20251201,9.2,9.24,8.94,8.96,9.15,-0.19,-2.0765,107687.0,97452.339
603687.SH,20251128,8.79,9.2,8.75,9.15,8.75,0.4,4.5714,165130.0,149839.37
603687.SH,20251127,8.7,8.85,8.61,8.75,8.68,0.07,0.8065,92723.0,81160.208
603687.SH,20251126,8.69,8.87,8.62,8.68,8.71,-0.03,-0.3444,70399.0,61397.214
603687.SH,20251125,8.7,8.81,8.69,8.71,8.7,0.01,0.1149,58291.0,50995.769
603687.SH,20251124,8.6,8.84,8.42,8.7,8.61,0.09,1.0453,98843.15,84964.893
603687.SH,20251121,8.9,8.96,8.55,8.61,8.97,-0.36,-4.0134,148686.24,129635.7
603687.SH,20251120,8.89,9.14,8.88,8.97,8.91,0.06,0.6734,106547.08,95782.059
603687.SH,20251119,8.92,9.16,8.88,8.91,8.9,0.01,0.1124,129075.0,116186.855
603687.SH,20251118,9.37,9.37,8.83,8.9,9.17,-0.27,-2.9444,187019.0,168492.819
603687.SH,20251117,9.11,9.35,9.01,9.17,9.04,0.13,1.4381,170245.08,156096.681
603687.SH,20251114,9.02,9.14,8.98,9.04,9.04,0.0,0.0,81933.0,74134.203
603687.SH,20251113,8.97,9.12,8.92,9.04,9.01,0.03,0.333,77541.0,70044.699
603687.SH,20251112,9.15,9.19,8.85,9.01,9.19,-0.18,-1.9587,140772.83,126291.418
603687.SH,20251111,9.08,9.27,9.04,9.19,9.07,0.12,1.323,108460.0,99583.514
603687.SH,20251110,8.92,9.23,8.92,9.07,8.91,0.16,1.7957,114654.0,104199.582
603687.SH,20251107,9.02,9.04,8.87,8.91,9.05,-0.14,-1.547,92151.0,82333.064
603687.SH,20251106,9.05,9.13,8.92,9.05,9.07,-0.02,-0.2205,93597.65,84410.578
603687.SH,20251105,8.8,9.12,8.8,9.07,8.9,0.17,1.9101,88618.22,79399.393
603687.SH,20251104,8.85,8.95,8.79,8.9,8.84,0.06,0.6787,93166.0,82554.752
603687.SH,20251103,8.95,8.99,8.74,8.84,8.94,-0.1,-1.1186,121752.0,107556.412
603687.SH,20251031,9.03,9.14,8.93,8.94,9.05,-0.11,-1.2155,115167.0,103811.012
603687.SH,20251030,9.2,9.68,9.02,9.05,9.08,-0.03,-0.3304,170417.0,156929.97
603687.SH,20251029,9.5,9.6,9.01,9.08,9.62,-0.54,-5.6133,227131.0,209539.58
603687.SH,20251028,9.5,9.86,9.36,9.62,9.49,0.13,1.3699,175069.0,168988.088
603687.SH,20251027,9.09,9.67,9.04,9.49,9.1,0.39,4.2857,197401.0,185083.58
603687.SH,20251024,9.03,9.2,8.88,9.1,9.03,0.07,0.7752,98397.0,89214.191
603687.SH,20251023,9.2,9.28,8.9,9.03,9.2,-0.17,-1.8478,101674.0,92024.574
603687.SH,20251022,9.03,9.47,8.98,9.2,9.08,0.12,1.3216,144074.03,133465.071
603687.SH,20251021,8.91,9.12,8.81,9.08,8.91,0.17,1.908,139972.0,125634.533
603687.SH,20251020,8.5,8.95,8.49,8.91,8.42,0.49,5.8195,149943.0,130794.242
603687.SH,20251017,8.94,9.02,8.36,8.42,9.0,-0.58,-6.4444,197018.05,170339.281
603687.SH,20251016,9.36,9.38,8.9,9.0,9.36,-0.36,-3.8462,168631.05,152764.504
603687.SH,20251015,9.31,9.43,9.23,9.36,9.31,0.05,0.5371,102881.45,96009.653
603687.SH,20251014,9.63,9.88,9.24,9.31,9.63,-0.32,-3.3229,203262.15,193629.249
603687.SH,20251013,9.43,9.87,9.26,9.63,9.82,-0.19,-1.9348,293467.52,278735.207
603687.SH,20251010,9.5,9.92,9.45,9.82,9.51,0.31,3.2597,290121.2,282613.84
603687.SH,20251009,9.21,9.7,9.2,9.51,9.17,0.34,3.7077,367043.42,349480.912
603687.SH,20250930,9.12,9.37,9.0,9.17,9.16,0.01,0.1092,260881.88,238242.778
