ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920641.BJ,20251230,18.21,18.5,18.03,18.34,18.24,0.1,0.5482,8589.15,15704.465
920641.BJ,20251229,18.44,18.65,18.11,18.24,18.4,-0.16,-0.8696,9617.82,17719.998
920641.BJ,20251226,18.78,18.79,18.34,18.4,18.79,-0.39,-2.0756,11561.6,21443.539
920641.BJ,20251225,18.71,18.96,18.4,18.79,18.58,0.21,1.1302,10453.9,19538.495
920641.BJ,20251224,18.69,18.69,18.39,18.58,18.54,0.04,0.2157,8195.7,15205.091
920641.BJ,20251223,18.96,19.11,18.34,18.54,19.07,-0.53,-2.7792,13879.6,25917.055
920641.BJ,20251222,19.19,19.19,18.84,19.07,19.05,0.02,0.105,12902.71,24511.938
920641.BJ,20251219,18.93,19.23,18.82,19.05,18.87,0.18,0.9539,14098.84,26915.464
920641.BJ,20251218,18.95,19.02,18.71,18.87,18.93,-0.06,-0.317,11312.28,21350.468
920641.BJ,20251217,19.23,19.29,18.65,18.93,19.17,-0.24,-1.252,15437.69,29157.017
920641.BJ,20251216,19.37,19.55,18.75,19.17,19.21,-0.04,-0.2082,22862.52,43716.482
920641.BJ,20251215,18.45,19.84,18.38,19.21,18.45,0.76,4.1192,31644.01,60866.692
920641.BJ,20251212,18.68,19.18,18.07,18.45,18.91,-0.46,-2.4326,24689.52,46238.057
920641.BJ,20251211,17.75,19.2,17.55,18.91,17.75,1.16,6.5352,32822.94,61229.91
920641.BJ,20251210,18.21,18.21,17.66,17.75,18.21,-0.46,-2.5261,12032.5,21451.342
920641.BJ,20251209,18.6,18.6,18.06,18.21,18.69,-0.48,-2.5682,11255.74,20567.321
920641.BJ,20251208,18.56,18.96,18.56,18.69,18.59,0.1,0.5379,11835.59,22274.591
920641.BJ,20251205,18.22,18.69,18.05,18.59,18.23,0.36,1.9748,9100.05,16761.67
920641.BJ,20251204,18.5,18.58,18.15,18.23,18.5,-0.27,-1.4595,6833.21,12537.478
920641.BJ,20251203,19.1,19.11,18.38,18.5,19.0,-0.5,-2.6316,12596.91,23515.646
920641.BJ,20251202,19.46,19.69,18.91,19.0,19.4,-0.4,-2.0619,20256.0,39027.373
920641.BJ,20251201,18.42,19.51,18.31,19.4,18.31,1.09,5.953,26899.81,51148.372
920641.BJ,20251128,18.55,18.68,18.17,18.31,18.55,-0.24,-1.2938,11399.48,20942.842
920641.BJ,20251127,18.65,18.79,18.47,18.55,18.65,-0.1,-0.5362,11289.4,21020.079
920641.BJ,20251126,19.1,19.19,18.51,18.65,18.99,-0.34,-1.7904,13272.79,24891.341
920641.BJ,20251125,18.87,19.35,18.79,18.99,18.67,0.32,1.714,15811.05,30135.74
920641.BJ,20251124,18.53,18.75,18.41,18.67,18.46,0.21,1.1376,9436.77,17533.568
920641.BJ,20251121,19.43,19.63,18.4,18.46,19.64,-1.18,-6.0081,21094.19,40018.086
920641.BJ,20251120,20.1,20.1,19.59,19.64,19.77,-0.13,-0.6576,10473.37,20661.99
920641.BJ,20251119,20.33,20.45,19.57,19.77,20.21,-0.44,-2.1771,20496.69,40676.509
920641.BJ,20251118,20.6,20.66,20.13,20.21,20.55,-0.34,-1.6545,15024.37,30480.316
920641.BJ,20251117,21.01,21.12,20.35,20.55,20.99,-0.44,-2.0962,20421.97,42333.202
920641.BJ,20251114,21.48,21.66,20.91,20.99,21.75,-0.76,-3.4943,25179.06,53683.155
920641.BJ,20251113,21.45,21.75,21.04,21.75,21.43,0.32,1.4932,28001.19,60299.771
920641.BJ,20251112,21.13,21.43,20.84,21.43,21.13,0.3,1.4198,23997.5,50794.659
920641.BJ,20251111,21.63,21.63,20.8,21.13,20.99,0.14,0.667,22194.52,46984.633
920641.BJ,20251110,21.36,21.46,20.9,20.99,21.03,-0.04,-0.1902,22609.17,47783.164
920641.BJ,20251107,21.18,21.6,21.03,21.03,21.46,-0.43,-2.0037,32955.21,70135.293
920641.BJ,20251106,22.22,22.22,21.4,21.46,22.41,-0.95,-4.2392,52393.08,114146.327
920641.BJ,20251105,21.5,22.66,21.16,22.41,21.77,0.64,2.9398,69570.37,152367.523
920641.BJ,20251104,21.23,21.77,20.95,21.77,21.51,0.26,1.2087,41155.32,87580.129
920641.BJ,20251103,21.55,22.08,21.05,21.51,21.69,-0.18,-0.8299,55804.43,119916.844
920641.BJ,20251031,20.59,22.3,20.4,21.69,22.3,-0.61,-2.7354,101240.61,214812.99
920641.BJ,20251030,21.1,26.45,21.1,22.3,20.35,1.95,9.5823,148817.1,362230.037
920641.BJ,20251029,19.36,20.56,18.93,20.35,19.29,1.06,5.4951,31995.31,62819.42
920641.BJ,20251028,20.1,20.2,19.11,19.29,20.06,-0.77,-3.8385,28804.41,56152.768
920641.BJ,20251027,20.51,20.6,19.85,20.06,20.39,-0.33,-1.6184,23018.86,46289.52
920641.BJ,20251024,20.22,20.44,20.02,20.39,20.22,0.17,0.8408,19554.74,39632.636
920641.BJ,20251023,20.57,20.57,19.8,20.22,20.68,-0.46,-2.2244,28172.15,56416.478
920641.BJ,20251022,21.54,21.55,20.57,20.68,21.54,-0.86,-3.9926,36272.23,75761.621
920641.BJ,20251021,21.05,21.68,20.84,21.54,21.33,0.21,0.9845,30614.42,65298.53
920641.BJ,20251020,20.56,21.45,20.22,21.33,20.19,1.14,5.6464,40896.73,85627.206
