ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002800.SZ,20251231,15.76,9.6348,18.1832,1.12,269.103,,4.7824,1.5686,1.8452,0.0,0.1904,15225.3067,14008.12,7422.52,239950.8336,220767.9712
002800.SZ,20251230,15.13,6.1923,11.6864,0.63,258.3457,,4.5912,1.5059,1.7714,0.0,0.1983,15225.3067,14008.12,7422.52,230358.8904,211942.8556
002800.SZ,20251229,15.75,9.149,17.2664,0.98,268.9322,,4.7794,1.5676,1.844,0.0,0.1905,15225.3067,14008.12,7422.52,239798.5805,220627.89
002800.SZ,20251226,15.58,14.5469,27.4536,2.07,266.0294,,4.7278,1.5507,1.8241,0.0,0.1926,15225.3067,14008.12,7422.52,237210.2784,218246.5096
002800.SZ,20251225,16.34,8.2008,15.4769,1.4,279.0065,,4.9584,1.6263,1.9131,0.0,0.1836,15225.3067,14008.12,7422.52,248781.5115,228892.6808
002800.SZ,20251224,14.85,5.0942,9.614,0.96,253.5646,,4.5063,1.478,1.7386,0.0,0.202,15225.3067,14008.12,7422.52,226095.8045,208020.582
002800.SZ,20251223,15.0,11.8603,22.3832,3.5,256.1259,,4.5518,1.493,1.7562,0.0,0.2,15225.3067,14008.12,7422.52,228379.6005,210121.8
002800.SZ,20251222,15.42,7.1785,13.5476,2.81,263.2974,,4.6792,1.5348,1.8054,0.0,0.1946,15225.3067,14008.12,7422.52,234774.2293,216005.2104
002800.SZ,20251219,14.02,2.7235,5.14,0.9,239.3923,,4.2544,1.3954,1.6414,0.0,0.214,15225.3067,14008.12,7422.52,213458.7999,196393.8424
002800.SZ,20251218,13.59,2.3701,4.473,0.65,232.0501,,4.1239,1.3526,1.5911,0.0,0.2208,15225.3067,14008.12,7422.52,206911.9181,190370.3508
002800.SZ,20251217,13.47,2.3594,4.4528,0.6,230.0011,,4.0875,1.3407,1.5771,0.0,0.2227,15225.3067,14008.12,7422.52,205084.8812,188689.3764
002800.SZ,20251216,13.35,2.3329,4.4028,0.58,227.9521,,4.0511,1.3287,1.563,0.0,0.2247,15225.3067,14008.12,7422.52,203257.8444,187008.402
002800.SZ,20251215,13.69,2.9857,5.6348,0.72,233.7576,,4.1543,1.3626,1.6028,0.0,0.2191,15225.3067,14008.12,7422.52,208434.4487,191771.1628
002800.SZ,20251212,13.43,5.0364,9.5049,1.3,229.3181,,4.0754,1.3367,1.5724,0.0,0.2234,15225.3067,14008.12,7422.52,204475.869,188129.0516
002800.SZ,20251211,13.96,5.4536,10.2922,1.5,238.3678,,4.2362,1.3894,1.6344,0.0,0.2149,15225.3067,14008.12,7422.52,212545.2815,195553.3552
002800.SZ,20251210,14.92,3.7452,7.0682,0.97,254.7599,,4.5275,1.485,1.7468,0.0,0.2011,15225.3067,14008.12,7422.52,227161.576,209001.1504
002800.SZ,20251209,15.4,2.9561,5.579,0.74,262.9559,,4.6732,1.5328,1.803,0.0,0.1948,15225.3067,14008.12,7422.52,234469.7232,215725.048
002800.SZ,20251208,15.5,3.6842,6.953,0.84,264.6634,,4.7035,1.5427,1.8147,0.0,0.1935,15225.3067,14008.12,7422.52,235992.2539,217125.86
002800.SZ,20251205,15.33,3.5063,6.6172,0.69,261.7607,,4.6519,1.5258,1.7948,0.0,0.1957,15225.3067,14008.12,7422.52,233403.9517,214744.4796
002800.SZ,20251204,15.14,4.2874,8.0913,0.63,258.5164,,4.5943,1.5069,1.7726,0.0,0.1982,15225.3067,14008.12,7422.52,230511.1434,212082.9368
002800.SZ,20251203,15.6,4.8971,9.242,0.66,266.3709,,4.7339,1.5527,1.8264,0.0,0.1923,15225.3067,14008.12,7422.52,237514.7845,218526.672
002800.SZ,20251202,15.64,3.6777,6.9408,0.51,267.0539,,4.746,1.5567,1.8311,0.0,0.1918,15225.3067,14008.12,7422.52,238123.7968,219086.9968
002800.SZ,20251201,15.69,5.6715,10.7035,0.85,267.9077,,4.7612,1.5616,1.837,0.0,0.1912,15225.3067,14008.12,7422.52,238885.0621,219787.4028
