ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
688686.SH,20251231,124.13,0.6403,2.3002,0.66,111.3534,81.1535,4.9712,16.6486,12.7454,0.5317,0.2008,12223.5455,12223.5455,3402.7889,1517308.7029,1517308.7029
688686.SH,20251230,125.96,1.0621,3.8155,1.25,112.9951,82.3499,5.0445,16.894,12.9333,0.524,0.1979,12223.5455,12223.5455,3402.7889,1539677.7912,1539677.7912
688686.SH,20251229,123.0,0.8059,2.8949,0.98,110.3398,80.4147,4.9259,16.497,12.6294,0.5366,0.2027,12223.5455,12223.5455,3402.7889,1503496.0965,1503496.0965
688686.SH,20251226,123.97,1.1194,4.0211,1.65,111.2099,81.0489,4.9648,16.6271,12.729,0.5324,0.2011,12223.5455,12223.5455,3402.7889,1515352.9356,1515352.9356
688686.SH,20251225,127.05,1.2472,4.4802,2.4,113.9729,83.0625,5.0881,17.0402,13.0452,0.5195,0.1962,12223.5455,12223.5455,3402.7889,1553001.4558,1553001.4558
688686.SH,20251224,118.71,0.5975,2.1463,1.1,106.4913,77.61,4.7541,15.9216,12.1889,0.556,0.21,12223.5455,12223.5455,3402.7889,1451057.0863,1451057.0863
688686.SH,20251223,115.5,0.4888,1.7557,0.79,103.6117,75.5114,4.6256,15.4911,11.8593,0.5714,0.2158,12223.5455,12223.5455,3402.7889,1411819.5053,1411819.5053
688686.SH,20251222,117.27,0.6666,2.3944,1.03,105.1995,76.6685,4.6964,15.7285,12.041,0.5628,0.2126,12223.5455,12223.5455,3402.7889,1433455.1808,1433455.1808
688686.SH,20251219,112.59,0.3871,1.3905,0.55,101.0012,73.6089,4.509,15.1008,11.5605,0.5862,0.2214,12223.5455,12223.5455,3402.7889,1376248.9878,1376248.9878
688686.SH,20251218,112.21,0.4574,1.6431,0.63,100.6604,73.3604,4.4938,15.0499,11.5215,0.5882,0.2222,12223.5455,12223.5455,3402.7889,1371604.0406,1371604.0406
688686.SH,20251217,112.67,0.7156,2.5706,1.01,101.073,73.6612,4.5122,15.1115,11.5687,0.5858,0.2213,12223.5455,12223.5455,3402.7889,1377226.8715,1377226.8715
688686.SH,20251216,109.0,0.854,3.0679,1.27,97.7808,71.2618,4.3652,14.6193,11.1919,0.6055,0.2287,12223.5455,12223.5455,3402.7889,1332366.4595,1332366.4595
688686.SH,20251215,111.88,0.8067,2.8978,1.22,100.3643,73.1447,4.4806,15.0056,11.4876,0.5899,0.2228,12223.5455,12223.5455,3402.7889,1367570.2705,1367570.2705
688686.SH,20251212,116.79,0.7155,2.5703,1.06,104.7689,76.3547,4.6772,15.6641,11.9917,0.5651,0.2135,12223.5455,12223.5455,3402.7889,1427587.8789,1427587.8789
688686.SH,20251211,115.1,0.5312,1.9083,0.8,103.2529,75.2498,4.6095,15.4375,11.8182,0.5734,0.2166,12223.5455,12223.5455,3402.7889,1406930.0871,1406930.0871
688686.SH,20251210,117.07,0.6429,2.3093,1.02,105.0201,76.5378,4.6884,15.7017,12.0205,0.5638,0.2129,12223.5455,12223.5455,3402.7889,1431010.4717,1431010.4717
688686.SH,20251209,118.88,0.6775,2.4339,1.08,106.6438,77.7211,4.7609,15.9444,12.2063,0.5552,0.2097,12223.5455,12223.5455,3402.7889,1453135.089,1453135.089
688686.SH,20251208,118.58,0.7392,2.6553,1.12,106.3747,77.525,4.7489,15.9042,12.1755,0.5566,0.2102,12223.5455,12223.5455,3402.7889,1449468.0254,1449468.0254
688686.SH,20251205,115.98,0.7685,2.7607,1.24,104.0423,75.8252,4.6448,15.5555,11.9086,0.5691,0.2149,12223.5455,12223.5455,3402.7889,1417686.8071,1417686.8071
688686.SH,20251204,114.99,0.4931,1.7712,0.79,103.1542,75.1779,4.6051,15.4227,11.8069,0.574,0.2168,12223.5455,12223.5455,3402.7889,1405585.497,1405585.497
688686.SH,20251203,112.68,0.4869,1.749,0.75,101.082,73.6677,4.5126,15.1129,11.5697,0.5857,0.2212,12223.5455,12223.5455,3402.7889,1377349.1069,1377349.1069
688686.SH,20251202,114.77,0.6621,2.3784,1.02,102.9569,75.0341,4.5963,15.3932,11.7843,0.5751,0.2172,12223.5455,12223.5455,3402.7889,1402896.317,1402896.317
688686.SH,20251201,116.92,0.8892,3.194,1.43,104.8856,76.4397,4.6824,15.6816,12.0051,0.5645,0.2132,12223.5455,12223.5455,3402.7889,1429176.9399,1429176.9399
688686.SH,20251128,116.53,0.5596,2.0101,0.87,104.5357,76.1847,4.6668,15.6293,11.965,0.5664,0.2139,12223.5455,12223.5455,3402.7889,1424409.7571,1424409.7571
688686.SH,20251127,115.32,0.539,1.9364,0.82,103.4503,75.3937,4.6184,15.467,11.8408,0.5723,0.2162,12223.5455,12223.5455,3402.7889,1409619.2671,1409619.2671
688686.SH,20251126,115.06,0.584,2.0978,0.89,103.217,75.2237,4.6079,15.4321,11.8141,0.5736,0.2167,12223.5455,12223.5455,3402.7889,1406441.1452,1406441.1452
688686.SH,20251125,115.03,0.6883,2.4727,1.13,103.1901,75.2041,4.6067,15.4281,11.811,0.5738,0.2167,12223.5455,12223.5455,3402.7889,1406074.4389,1406074.4389
688686.SH,20251124,115.65,0.7465,2.6816,1.31,103.7463,75.6094,4.6316,15.5112,11.8747,0.5707,0.2156,12223.5455,12223.5455,3402.7889,1413653.0371,1413653.0371
688686.SH,20251121,112.55,0.657,2.36,1.2,100.9654,73.5827,4.5074,15.0955,11.5564,0.5864,0.2215,12223.5455,12223.5455,3402.7889,1375760.046,1375760.046
688686.SH,20251120,115.53,0.6108,2.1941,1.14,103.6386,75.531,4.6268,15.4951,11.8624,0.5713,0.2158,12223.5455,12223.5455,3402.7889,1412186.2116,1412186.2116
688686.SH,20251119,115.16,0.5913,2.124,1.02,103.3067,75.2891,4.6119,15.4455,11.8244,0.5731,0.2165,12223.5455,12223.5455,3402.7889,1407663.4998,1407663.4998
688686.SH,20251118,116.19,0.4446,1.5969,0.66,104.2307,75.9625,4.6532,15.5837,11.9301,0.568,0.2146,12223.5455,12223.5455,3402.7889,1420253.7516,1420253.7516
688686.SH,20251117,117.09,0.5525,1.9847,0.76,105.0381,76.5509,4.6892,15.7044,12.0225,0.5637,0.2129,12223.5455,12223.5455,3402.7889,1431254.9426,1431254.9426
