ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
920199.BJ,20251231,34.59,4.27,8.9056,0.58,84.8028,226.8464,4.4836,8.0896,8.4721,0.8673,,6810.98,3695.9575,1772.0942,235591.7982,127843.1699
920199.BJ,20251230,35.81,6.0812,12.6833,0.85,87.7938,234.8474,4.6418,8.3749,8.7709,0.8377,,6810.98,3695.9575,1772.0942,243901.1938,132352.2381
920199.BJ,20251229,37.4,9.2121,19.2131,1.43,91.6919,245.2748,4.8479,8.7468,9.1604,0.8021,,6810.98,3695.9575,1772.0942,254730.652,138228.8105
920199.BJ,20251226,36.38,5.3534,11.1654,0.71,89.1912,238.5855,4.7157,8.5082,8.9105,0.8246,,6810.98,3695.9575,1772.0942,247783.4524,134458.9339
920199.BJ,20251225,37.9,8.325,17.363,1.03,92.9178,248.5539,4.9127,8.8637,9.2828,0.7916,,6810.98,3695.9575,1772.0942,258136.142,140076.7893
920199.BJ,20251224,37.22,8.0963,16.8861,1.04,91.2506,244.0943,4.8245,8.7047,9.1163,0.806,,6810.98,3695.9575,1772.0942,253504.6756,137563.5382
920199.BJ,20251223,35.49,4.7343,9.8741,0.63,87.0093,232.7487,4.6003,8.3001,8.6925,0.8453,,6810.98,3695.9575,1772.0942,241721.6802,131169.5317
920199.BJ,20251222,36.64,5.8021,12.1011,0.85,89.8287,240.2906,4.7494,8.569,8.9742,0.8188,,6810.98,3695.9575,1772.0942,249554.3072,135419.8828
920199.BJ,20251219,37.06,10.7145,22.3467,2.03,90.8584,243.045,4.8038,8.6672,9.0771,0.8095,,6810.98,3695.9575,1772.0942,252414.9188,136972.185
920199.BJ,20251218,36.9,10.9667,22.8727,2.79,90.4661,241.9957,4.7831,8.6298,9.0379,0.813,,6810.98,3695.9575,1772.0942,251325.162,136380.8318
920199.BJ,20251217,34.9,6.8896,14.3693,2.35,85.5628,228.8794,4.5238,8.1621,8.548,0.8596,,6810.98,3695.9575,1772.0942,237703.202,128988.9168
920199.BJ,20251216,34.11,2.9241,6.0985,1.05,83.626,223.6985,4.4214,7.9773,8.3545,0.8795,,6810.98,3695.9575,1772.0942,232322.5278,126069.1103
920199.BJ,20251215,33.98,2.7291,5.6919,0.96,83.3073,222.8459,4.4046,7.9469,8.3227,0.8829,,6810.98,3695.9575,1772.0942,231437.1004,125588.6359
920199.BJ,20251212,33.55,2.9132,6.076,1.0,82.2531,220.0259,4.3488,7.8464,8.2174,0.8942,,6810.98,3695.9575,1772.0942,228508.379,123999.3741
920199.BJ,20251211,33.58,4.1727,8.7027,1.57,82.3266,220.2227,4.3527,7.8534,8.2247,0.8934,,6810.98,3695.9575,1772.0942,228712.7084,124110.2529
920199.BJ,20251210,33.0,1.9291,4.0234,0.69,80.9046,216.419,4.2775,7.7177,8.0827,0.9091,,6810.98,3695.9575,1772.0942,224762.34,121966.5975
920199.BJ,20251209,33.47,2.1757,4.5376,0.75,82.0569,219.5013,4.3385,7.8276,8.1978,0.8963,,6810.98,3695.9575,1772.0942,227963.5006,123703.6975
920199.BJ,20251208,34.19,2.9635,6.1809,1.04,83.8221,224.2232,4.4318,7.996,8.3741,0.8774,,6810.98,3695.9575,1772.0942,232867.4062,126364.7869
920199.BJ,20251205,34.36,3.2677,6.8153,1.26,84.2389,225.338,4.4538,8.0358,8.4158,0.8731,,6810.98,3695.9575,1772.0942,234025.2728,126993.0997
920199.BJ,20251204,33.4,2.9346,6.1205,1.17,81.8853,219.0422,4.3294,7.8113,8.1806,0.8982,,6810.98,3695.9575,1772.0942,227486.732,123444.9805
920199.BJ,20251203,34.97,2.7271,5.6877,1.1,85.7344,229.3385,4.5329,8.1785,8.5652,0.8579,,6810.98,3695.9575,1772.0942,238179.9706,129247.6338
920199.BJ,20251202,35.11,2.6308,5.4869,1.11,86.0776,230.2566,4.551,8.2112,8.5995,0.8545,,6810.98,3695.9575,1772.0942,239133.5078,129765.0678
920199.BJ,20251201,35.04,2.7198,5.6725,1.2,85.906,229.7976,4.542,8.1948,8.5823,0.8562,,6810.98,3695.9575,1772.0942,238656.7392,129506.3508
920199.BJ,20251128,34.22,2.0017,4.1748,0.79,83.8957,224.4199,4.4357,8.003,8.3815,0.8767,,6810.98,3695.9575,1772.0942,233071.7356,126475.6657
920199.BJ,20251127,33.73,2.4144,5.0356,0.96,82.6944,221.2064,4.3722,7.8885,8.2615,0.8894,,6810.98,3695.9575,1772.0942,229734.3554,124664.6465
920199.BJ,20251126,34.27,2.644,5.5145,1.01,84.0183,224.7478,4.4422,8.0147,8.3937,0.8754,,6810.98,3695.9575,1772.0942,233412.2846,126660.4635
920199.BJ,20251125,33.89,2.0627,4.3021,0.77,83.0866,222.2557,4.3929,7.9259,8.3007,0.8852,,6810.98,3695.9575,1772.0942,230824.1122,125255.9997
920199.BJ,20251124,33.28,2.1688,4.5233,0.67,81.5911,218.2552,4.3138,7.7832,8.1512,0.9014,,6810.98,3695.9575,1772.0942,226669.4144,123001.4656
920199.BJ,20251121,33.25,3.4548,7.2055,0.94,81.5176,218.0585,4.3099,7.7762,8.1439,0.9022,0.4511,6810.98,3695.9575,1772.0942,226465.085,122890.5869
920199.BJ,20251120,33.41,2.2198,4.6296,0.45,81.9098,219.1078,4.3307,7.8136,8.1831,0.8979,0.449,6810.98,3695.9575,1772.0942,227554.8418,123481.9401
920199.BJ,20251119,34.2,3.1857,6.6442,0.47,83.8466,224.2887,4.4331,7.9984,8.3766,0.8772,0.4386,6810.98,3695.9575,1772.0942,232935.516,126401.7465
920199.BJ,20251118,35.35,2.378,4.9597,0.35,86.666,231.8306,4.5821,8.2673,8.6583,0.8487,0.4243,6810.98,3695.9575,1772.0942,240768.143,130652.0976
920199.BJ,20251117,35.2,5.0241,10.4785,0.78,86.2983,230.8469,4.5627,8.2322,8.6215,0.8523,0.4261,6810.98,3695.9575,1772.0942,239746.496,130097.704
920199.BJ,20251114,36.55,5.5261,11.5254,0.88,89.608,239.7004,4.7377,8.548,8.9522,0.8208,0.4104,6810.98,3695.9575,1772.0942,248941.319,135087.2466
920199.BJ,20251113,36.87,8.4623,17.6493,1.57,90.3926,241.799,4.7792,8.6228,9.0305,0.8137,0.4068,6810.98,3695.9575,1772.0942,251120.8326,136269.953
920199.BJ,20251112,37.54,12.6314,26.3446,3.36,92.0352,246.193,4.866,8.7795,9.1946,0.7991,0.3996,6810.98,3695.9575,1772.0942,255684.1892,138746.2446
920199.BJ,20251111,36.07,2.5874,5.3963,0.59,88.4312,236.5525,4.6755,8.4357,8.8346,0.8317,0.4159,6810.98,3695.9575,1772.0942,245672.0486,133313.187
