ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002166.SZ,20251231,49361,4201.57,38080,3241.82,58752,5000.57,54442,4632.41,41318,3514.99,49051,4175.96,10737,911.79,18595,1578.74,-39361,-3340.16
002166.SZ,20251230,67642,5823.02,52442,4517.01,84922,7311.73,69897,6020.56,57820,4976.83,62474,5376.75,13206,1137.39,38776,3334.66,-29901,-2564.48
002166.SZ,20251229,110888,9803.74,102127,9036.47,139356,12317.49,120183,10629.35,83097,7360.62,94495,8350.95,17179,1516.93,33715,2982.02,-83563,-7391.8
002166.SZ,20251226,131998,11982.37,174253,15824.73,160940,14610.72,150869,13693.9,121245,11007.12,91511,8305.0,11588,1052.7,9139,829.27,-53380,-4815.07
002166.SZ,20251225,276694,26816.29,251491,24224.53,302858,29409.94,243820,23512.32,224879,21806.18,223349,21630.35,50049,4905.85,135822,13571.07,-121341,-12213.72
002166.SZ,20251224,211,20.19,24280,2323.64,730,69.85,17530,1677.62,4253,407.01,12760,1221.16,101742,9736.69,52365,5011.33,-106936,-10233.75
002166.SZ,20251209,84614,7379.01,63852,5573.92,78538,6852.19,79196,6906.65,55608,4858.16,66422,5798.75,10307,897.47,19598,1707.51,-33407,-2919.36
002166.SZ,20251208,89409,7999.51,90221,8083.78,116549,10436.18,99162,8880.04,95614,8567.18,103926,9301.75,28758,2585.11,37021,3322.4,60266,5439.57
002166.SZ,20251205,79301,6994.67,84154,7439.73,88258,7807.32,78918,6984.47,59598,5274.22,56364,4976.17,10014,887.0,17736,1562.84,7583,712.1
002166.SZ,20251204,54394,4715.59,53621,4654.05,53956,4677.63,61113,5301.57,36253,3148.46,36646,3181.98,13485,1177.33,6708,581.43,-10373,-902.23
002166.SZ,20251203,96000,8342.1,101107,8785.26,82031,7131.91,87282,7595.29,62610,5457.93,57710,5025.92,14624,1272.76,9167,798.23,-5745,-489.2
002166.SZ,20251202,113806,9785.72,82060,7058.37,68738,5915.75,81029,6973.56,44407,3826.24,54494,4692.49,4174,359.62,13542,1162.91,-19375,-1659.42
002166.SZ,20251201,124440,10643.37,149159,12742.59,151432,12941.25,160780,13751.51,120832,10315.98,109782,9360.76,46005,3938.24,22988,1983.98,100096,8551.58
002166.SZ,20251128,20889,1680.58,25522,2053.79,26486,2132.25,22241,1792.22,10022,808.95,9763,786.19,129,10.41,0,0.0,3954,323.31
002166.SZ,20251127,28470,2293.05,20896,1683.34,17877,1439.7,18456,1485.98,8121,653.75,11259,906.86,0,0.0,3857,310.32,-2352,-187.93
002166.SZ,20251126,40393,3274.05,30301,2458.0,35640,2890.69,34684,2816.92,13233,1074.27,25698,2081.95,4732,386.69,3315,268.85,-12776,-1029.04
002166.SZ,20251125,28954,2332.09,35650,2872.46,27771,2238.22,28987,2337.55,18601,1500.66,13737,1108.11,5005,404.49,1957,157.34,3495,284.12
002166.SZ,20251124,36057,2872.62,32076,2556.33,27340,2175.95,27965,2227.72,21845,1741.3,23791,1892.75,2473,197.81,3883,310.88,8741,698.2
002166.SZ,20251121,44843,3527.93,43322,3407.24,39374,3103.14,36702,2892.63,25651,2019.79,29728,2341.18,6036,471.17,6151,480.99,-15315,-1205.03
002166.SZ,20251120,26846,2170.75,20311,1642.81,26282,2126.09,22417,1813.15,10675,863.33,13675,1105.84,3000,243.66,10400,842.02,4391,359.03
002166.SZ,20251119,40318,3273.88,24510,1990.66,32693,2658.35,31885,2590.3,21139,1718.7,37370,3036.07,5000,405.5,5385,439.39,-3612,-287.26
002166.SZ,20251118,27408,2272.71,23019,1907.75,34198,2835.48,28666,2376.36,29723,2462.29,27457,2277.84,0,0.0,12187,1008.54,-9375,-768.66
002166.SZ,20251117,24108,2011.45,28540,2380.31,29912,2494.47,30704,2562.02,19313,1609.59,13116,1093.85,2280,190.33,3253,269.66,844,76.06
002166.SZ,20251114,31046,2594.79,30469,2548.06,33265,2780.4,38458,3215.83,21762,1819.23,25528,2134.75,8382,704.22,0,0.0,-3969,-322.57
