ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603220.SH,20251231,32235,6852.97,30641,6511.23,20757,4410.47,20558,4369.04,12429,2639.03,13251,2815.19,3523,745.76,4494,952.77,1537,338.05
603220.SH,20251230,27374,5853.13,31238,6676.78,18525,3960.32,18377,3929.22,10641,2272.55,8388,1791.81,2742,586.76,1279,274.96,-9649,-2053.22
603220.SH,20251229,26515,5638.43,24268,5159.57,16200,3444.86,16778,3567.65,7441,1581.91,9661,2054.02,2447,519.29,1896,403.25,912,198.9
603220.SH,20251226,30988,6598.66,26439,5628.43,18918,4026.62,18120,3859.26,9251,1969.14,14598,3106.72,500,106.0,500,106.0,-7591,-1608.57
603220.SH,20251225,24151,5158.76,21432,4578.17,17730,3786.62,16382,3499.88,5782,1234.76,10294,2196.91,1015,216.18,570,121.35,570,125.26
603220.SH,20251224,30157,6417.01,22532,4794.39,13329,2835.49,16451,3499.85,5148,1095.52,9151,1947.28,0,0.0,500,106.5,7865,1673.78
603220.SH,20251223,24732,5239.51,24041,5093.59,15970,3381.76,15357,3251.68,6838,1448.25,7113,1507.19,775,165.54,1804,382.61,-10677,-2259.68
603220.SH,20251222,26511,5690.09,21418,4595.39,16375,3513.01,18584,3987.22,7967,1709.62,11318,2430.4,2874,618.34,2407,518.06,-2445,-519.89
603220.SH,20251219,30456,6489.54,27268,5811.36,17917,3816.77,17141,3654.92,7317,1558.94,7109,1513.47,4097,871.08,8269,1756.59,5476,1166.93
603220.SH,20251218,28503,6045.85,23756,5039.51,15293,3242.74,17732,3760.72,7433,1576.38,9575,2028.89,1590,337.56,1756,373.41,6601,1400.38
603220.SH,20251217,36344,7594.78,32598,6812.27,20293,4241.96,19540,4084.99,10259,2144.88,10641,2221.3,0,0.0,4116,863.07,-4948,-1024.48
603220.SH,20251216,39504,8303.02,30623,6436.95,22408,4709.01,20297,4266.82,8311,1746.5,13265,2787.45,2114,443.36,8152,1710.67,7356,1546.55
603220.SH,20251215,59693,12880.5,53876,11624.2,46687,10072.5,40293,8692.13,23381,5042.04,25562,5510.86,3646,786.89,13676,2954.74,-19079,-4095.84
603220.SH,20251212,34648,7764.48,30192,6762.93,19688,4407.48,19222,4305.8,13269,2970.79,12000,2689.03,4082,911.9,10272,2296.89,5149,1161.29
603220.SH,20251211,28829,6524.12,32936,7454.38,22823,5168.43,20610,4667.75,13317,3018.27,10042,2273.25,1000,224.6,2381,540.05,-8831,-1983.67
603220.SH,20251210,22257,4999.45,21293,4781.58,15096,3390.44,15564,3495.69,7108,1595.47,7460,1674.27,500,111.8,644,145.61,-1496,-328.03
603220.SH,20251209,26483,6022.41,25003,5684.95,21346,4852.67,20258,4605.2,8722,1981.64,9417,2141.75,0,0.0,1873,424.83,-783,-168.09
603220.SH,20251208,24764,5601.01,25119,5682.8,20365,4606.81,21100,4772.47,11285,2552.82,9001,2036.35,0,0.0,1194,269.02,4451,1006.76
603220.SH,20251205,19121,4257.82,18523,4124.29,13823,3077.97,13827,3079.28,8834,1969.67,7545,1681.76,0,0.0,1884,420.13,654,151.47
603220.SH,20251204,13868,3089.77,14471,3224.27,12162,2709.42,12112,2699.06,6266,1396.59,5712,1272.45,0,0.0,0,0.0,-6801,-1512.93
603220.SH,20251203,18116,4073.62,20191,4541.93,15038,3380.04,14793,3325.49,9276,2084.9,6628,1489.02,2381,534.78,3199,716.9,-12827,-2884.92
