ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20251231,7465.5742,7473.7519,7488.0663,7435.0664,7458.936,6.6382,0.089,194427743.0,380369638.019
000905.SH,20251230,7458.936,7390.1398,7495.0606,7389.8691,7430.6147,28.3213,0.3811,196203615.0,407623516.14
000905.SH,20251229,7430.6147,7467.5042,7491.6926,7411.4472,7458.8386,-28.2239,-0.3784,198844338.0,390446087.066
000905.SH,20251226,7458.8386,7422.6014,7484.9158,7397.4255,7410.7119,48.1267,0.6494,199276884.0,386914288.411
000905.SH,20251225,7410.7119,7341.9223,7426.1367,7334.3404,7352.0396,58.6723,0.798,168414201.0,336366985.229
000905.SH,20251224,7352.0396,7257.615,7362.5704,7247.4054,7256.7864,95.2532,1.3126,168837713.0,331930929.315
000905.SH,20251223,7256.7864,7257.9076,7297.7034,7228.7225,7255.6607,1.1257,0.0155,173476002.0,328559029.522
000905.SH,20251222,7255.6607,7205.489,7277.386,7205.489,7169.5511,86.1096,1.201,178242881.0,327207674.824
000905.SH,20251219,7169.5511,7124.4045,7197.0681,7117.1583,7100.8359,68.7152,0.9677,178843146.0,292738015.323
000905.SH,20251218,7100.8359,7096.9815,7172.9624,7094.5396,7137.8339,-36.998,-0.5183,154896123.0,275510779.271
000905.SH,20251217,7137.8339,7002.5064,7160.7763,6988.871,7001.3188,136.5151,1.9498,174413136.0,302410118.523
000905.SH,20251216,7001.3188,7101.6696,7102.7717,6962.6451,7113.962,-112.6432,-1.5834,172065874.0,284968704.394
000905.SH,20251215,7113.962,7121.3805,7177.1541,7110.6781,7169.791,-55.829,-0.7787,172174064.0,301023637.03
000905.SH,20251212,7169.791,7088.1001,7187.0997,7063.8407,7082.8932,86.8978,1.2269,198402473.0,373144936.682
000905.SH,20251211,7082.8932,7171.2079,7179.4249,7082.8932,7155.9944,-73.1012,-1.0215,181848554.0,300744575.886
000905.SH,20251210,7155.9944,7111.5705,7171.9733,7070.4751,7121.3256,34.6688,0.4868,153967827.0,280495257.218
000905.SH,20251209,7121.3256,7150.9729,7185.1071,7103.8325,7172.3671,-51.0415,-0.7116,166901066.0,305522303.623
000905.SH,20251208,7172.3671,7119.051,7193.723,7114.3234,7097.8389,74.5282,1.05,192611750.0,347244592.784
000905.SH,20251205,7097.8389,7008.6492,7104.0208,6965.8064,7012.8061,85.0328,1.2125,168738274.0,275108399.691
000905.SH,20251204,7012.8061,7001.6423,7039.7157,6958.6322,6996.3552,16.4509,0.2351,141038338.0,239912559.988
000905.SH,20251203,6996.3552,7044.8568,7064.16,6975.0888,7040.3008,-43.9456,-0.6242,157838867.0,251308651.463
000905.SH,20251202,7040.3008,7084.799,7085.3031,7022.6102,7101.8323,-61.5315,-0.8664,149518197.0,247360273.406
000905.SH,20251201,7101.8323,7053.8471,7101.8323,7040.8033,7031.5505,70.2818,0.9995,178973432.0,308533693.614
000905.SH,20251128,7031.5505,6947.2369,7031.7124,6941.4833,6951.2844,80.2661,1.1547,140211184.0,243255194.578
000905.SH,20251127,6951.2844,6970.7329,7045.8447,6943.4443,6965.0453,-13.7609,-0.1976,137841103.0,253013152.925
000905.SH,20251126,6965.0453,6946.0812,7024.8824,6936.8765,6954.6034,10.4419,0.1501,148943526.0,274858341.725
